id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente
27803,Regional,COL,Colombia,SUCRE,SUCRE,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,3532.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27804,Regional,COL,Colombia,SUCRE,SANTIAGO DE TOLÚ,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,0.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27805,Regional,COL,Colombia,SUCRE,SANTIAGO DE TOLÚ,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,150.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27806,Regional,COL,Colombia,SUCRE,SANTIAGO DE TOLÚ,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,1854.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27807,Regional,COL,Colombia,SUCRE,SANTIAGO DE TOLÚ,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,469.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27808,Regional,COL,Colombia,SUCRE,SAN JOSÉ DE TOLUVIEJO,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,51.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27809,Regional,COL,Colombia,SUCRE,SAN JOSÉ DE TOLUVIEJO,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,666.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27810,Regional,COL,Colombia,SUCRE,SAN JOSÉ DE TOLUVIEJO,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,9820.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27811,Regional,COL,Colombia,SUCRE,SAN JOSÉ DE TOLUVIEJO,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,4613.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27812,Regional,COL,Colombia,SUCRE,MORROA,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,68.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27813,Regional,COL,Colombia,SUCRE,MORROA,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,858.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27814,Regional,COL,Colombia,SUCRE,MORROA,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,4707.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27815,Regional,COL,Colombia,SUCRE,MORROA,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,1844.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27816,Regional,COL,Colombia,TOLIMA,IBAGUÉ,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,31.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27817,Regional,COL,Colombia,TOLIMA,IBAGUÉ,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,377.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27818,Regional,COL,Colombia,TOLIMA,IBAGUÉ,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,4421.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27819,Regional,COL,Colombia,TOLIMA,IBAGUÉ,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,14236.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27820,Regional,COL,Colombia,TOLIMA,ALPUJARRA,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,6.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27821,Regional,COL,Colombia,TOLIMA,ALPUJARRA,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,18.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27822,Regional,COL,Colombia,TOLIMA,ALPUJARRA,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,618.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27823,Regional,COL,Colombia,TOLIMA,ALPUJARRA,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,705.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27824,Regional,COL,Colombia,TOLIMA,ALVARADO,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,0.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27825,Regional,COL,Colombia,TOLIMA,ALVARADO,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,70.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
