id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente,personas_desplazadas_flag,desplazamiento_stock_flag,registro_valido_dominio,outlier_iqr_extremo
105,Global,KEN,Kenya,,,2024,2024,Conflicto armado / violencia,Todos,Todos,38000.0,100000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
106,Global,KEN,Kenya,,,2024,2024,Desastre natural / climático,Todos,Todos,314000.0,185000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
107,Global,KGZ,Kyrgyzstan,,,2024,2024,Desastre natural / climático,Todos,Todos,4700.0,12.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
108,Global,KHM,Cambodia,,,2024,2024,Desastre natural / climático,Todos,Todos,11000.0,2500.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
109,Global,KOR,Korea,,,2024,2024,Desastre natural / climático,Todos,Todos,11000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
110,Global,LAO,Lao Pdr,,,2024,2024,Desastre natural / climático,Todos,Todos,3400.0,1300.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
111,Global,LBN,Lebanon,,,2024,2024,Conflicto armado / violencia,Todos,Todos,1056000.0,985000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
112,Global,LBN,Lebanon,,,2024,2024,Desastre natural / climático,Todos,Todos,2400.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
113,Global,LBR,Liberia,,,2024,2024,Desastre natural / climático,Todos,Todos,22000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
114,Global,LBY,Libya,,,2024,2024,Conflicto armado / violencia,Todos,Todos,340.0,107000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
115,Global,LBY,Libya,,,2024,2024,Desastre natural / climático,Todos,Todos,13000.0,32000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
116,Global,LCA,St. Lucia,,,2024,2024,Desastre natural / climático,Todos,Todos,27.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
117,Global,LKA,Sri Lanka,,,2024,2024,Conflicto armado / violencia,Todos,Todos,,4800.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),sin_dato,reportado,True,False
118,Global,LKA,Sri Lanka,,,2024,2024,Desastre natural / climático,Todos,Todos,84000.0,740.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
119,Global,LTU,Lithuania,,,2024,2024,Desastre natural / climático,Todos,Todos,4.0,4.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
120,Global,LVA,Latvia,,,2024,2024,Desastre natural / climático,Todos,Todos,6.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
121,Global,MAR,Morocco,,,2024,2024,Desastre natural / climático,Todos,Todos,270.0,260.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
122,Global,MDA,Moldova,,,2024,2024,Desastre natural / climático,Todos,Todos,170.0,6.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
123,Global,MDG,Madagascar,,,2024,2024,Conflicto armado / violencia,Todos,Todos,180.0,180.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
124,Global,MDG,Madagascar,,,2024,2024,Desastre natural / climático,Todos,Todos,59000.0,9700.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
125,Global,MDV,Maldives,,,2024,2024,Desastre natural / climático,Todos,Todos,240.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
126,Global,MEX,Mexico,,,2024,2024,Conflicto armado / violencia,Todos,Todos,26000.0,390000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
127,Global,MEX,Mexico,,,2024,2024,Desastre natural / climático,Todos,Todos,53000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
128,Global,MHL,Marshall Islands,,,2024,2024,Desastre natural / climático,Todos,Todos,320.0,35.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
129,Global,MKD,North Macedonia,,,2024,2024,Desastre natural / climático,Todos,Todos,2.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
130,Global,MLI,Mali,,,2024,2024,Conflicto armado / violencia,Todos,Todos,131000.0,361000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
131,Global,MLI,Mali,,,2024,2024,Desastre natural / climático,Todos,Todos,30000.0,18000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
132,Global,MMR,Myanmar,,,2024,2024,Conflicto armado / violencia,Todos,Todos,1232000.0,3521000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
133,Global,MMR,Myanmar,,,2024,2024,Desastre natural / climático,Todos,Todos,525000.0,126000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
134,Global,MNG,Mongolia,,,2024,2024,Desastre natural / climático,Todos,Todos,890.0,22.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
135,Global,MOZ,Mozambique,,,2024,2024,Conflicto armado / violencia,Todos,Todos,240000.0,580000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
136,Global,MOZ,Mozambique,,,2024,2024,Desastre natural / climático,Todos,Todos,585000.0,138000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
